日期,收盘,pred,strategy_cum,hold_cum
2023-09-26,11.8,0,-4.954015498258545,2.957393483709515
2023-09-27,11.56,1,-4.834022043283424,2.8972431077696608
2023-09-28,11.28,1,-4.864020407027205,2.8270676691731635
2023-10-09,11.35,1,-4.872591368096856,2.844611528822288
2023-10-10,11.37,1,-4.834022043283424,2.8496240601506093
2023-10-11,11.28,1,-4.902589731840636,2.827067669173164
2023-10-12,11.44,1,-4.786881757400342,2.867167919799734
2023-10-13,11.17,0,-4.786881757400342,2.799498746867398
2023-10-16,11.29,1,-4.752962311820889,2.829573934837325
2023-10-17,11.21,1,-4.719042866241437,2.8095238095240407
2023-10-18,11.13,1,-4.630004321595372,2.789473684210756
2023-10-19,10.92,1,-4.579125153226192,2.7368421052633836
2023-10-20,10.8,1,-4.494326539277559,2.7067669172934563
2023-10-23,10.6,1,-4.621524460200509,2.656641604010244
2023-10-24,10.9,1,-4.7614421732157535,2.7318295739350624
2023-10-25,11.23,1,-4.7614421732157535,2.8145363408523623
2023-10-26,11.23,1,-4.731762658333732,2.8145363408523623
2023-10-27,11.16,1,-4.90559981692843,2.7969924812032385
2023-10-30,11.57,0,-4.90559981692843,2.8997493734338238
2023-10-31,11.59,1,-4.804017076974779,2.904761904762145
2023-11-01,11.35,1,-4.8082496911395145,2.844611528822291
2023-11-02,11.36,1,-4.791319234480573,2.847117794486451
2023-11-03,11.32,0,-4.791319234480573,2.8370927318298094
2023-11-06,11.08,0,-4.791319234480573,2.776942355889955
2023-11-07,11.16,0,-4.791319234480573,2.79699248120324
2023-11-08,10.97,0,-4.791319234480573,2.749373433584189
2023-11-09,11.03,1,-4.747880256833424,2.7644110275691522
2023-11-10,10.93,1,-4.800007030010004,2.739348370927546
2023-11-13,11.05,1,-4.782631438951144,2.769423558897474
2023-11-14,11.01,1,-4.843446007657153,2.759398496240831
2023-11-15,11.15,1,-4.830414314363008,2.7944862155390795
2023-11-16,11.12,1,-4.830414314363008,2.7869674185465976
2023-11-17,11.12,1,-4.782631438951144,2.7869674185465976
2023-11-20,11.01,1,-4.904260576363162,2.7593984962408316
2023-11-21,11.29,1,-4.821726518833579,2.8295739348373283
2023-11-22,11.1,1,-4.83910210989244,2.781954887218277
2023-11-23,11.14,1,-4.778287541186431,2.79197994987492
2023-11-24,11.0,0,-4.778287541186431,2.7568922305766717
2023-11-27,11.02,1,-4.7869595693918505,2.761904761904993
2023-11-28,11.04,1,-4.899695936062312,2.766917293233314
2023-11-29,11.3,1,-4.912703978370441,2.8320802005014905
2023-11-30,11.33,1,-4.851999780932501,2.839598997493972
2023-12-01,11.19,1,-5.008096288630061,2.804511278195723
2023-12-04,11.55,1,-4.812975654008111,2.8947368421055053
2023-12-05,11.1,0,-4.812975654008111,2.7819548872182778
2023-12-06,11.15,0,-4.812975654008111,2.794486215539081
2023-12-07,10.95,0,-4.812975654008111,2.7443609022558686
2023-12-08,10.82,0,-4.812975654008111,2.711779448621781
2023-12-11,10.82,0,-4.812975654008111,2.711779448621781
2023-12-12,10.77,0,-4.812975654008111,2.699248120300978
2023-12-13,10.59,0,-4.812975654008111,2.654135338346087
2023-12-14,10.63,0,-4.812975654008111,2.6641604010027296
2023-12-15,10.85,1,-4.848463032102179,2.719298245614263
2023-12-18,10.93,1,-4.857334876625696,2.7393483709275475
2023-12-19,10.95,1,-4.9549251663843865,2.7443609022558686
2023-12-20,11.17,1,-4.977104777693181,2.7994987468674024
2023-12-21,11.22,0,-4.977104777693181,2.812030075188206
2023-12-22,11.29,1,-5.034414221546159,2.8295739348373297
2023-12-25,11.42,1,-5.016780546514474,2.862155388471418
2023-12-26,11.38,1,-5.113765759188744,2.852130325814776
2023-12-27,11.6,0,-5.113765759188744,2.9072681704263093
2023-12-28,11.55,0,-5.113765759188744,2.894736842105507
2023-12-29,11.66,0,-5.113765759188744,2.9223057644112735
2024-01-02,11.69,0,-5.113765759188744,2.9298245614037555
2024-01-03,11.73,0,-5.113765759188744,2.939849624060398
2024-01-04,11.71,0,-5.113765759188744,2.934837092732077
2024-01-05,11.67,0,-5.113765759188744,2.9248120300754343
2024-01-08,11.5,1,-5.171573546031747,2.8822055137847045
2024-01-09,11.63,0,-5.171573546031747,2.9147869674187925
2024-01-10,11.48,1,-5.10850557595819,2.8771929824563833
2024-01-11,11.34,0,-5.10850557595819,2.842105263158135
2024-01-12,11.4,0,-5.10850557595819,2.857142857143099
2024-01-15,11.32,1,-5.14009527474945,2.837092731829814
2024-01-16,11.39,1,-4.918967383210624,2.854636591478938
2024-01-17,10.9,1,-4.982146780793145,2.7318295739350678
2024-01-18,11.04,0,-4.982146780793145,2.7669172932333157
2024-01-19,11.12,1,-4.874618433006243,2.7869674185466007
2024-01-22,10.88,1,-4.811893563463884,2.726817042606746
2024-01-23,10.74,1,-4.892539824304061,2.691729323308498
2024-01-24,10.92,1,-5.040391302511052,2.7368421052633884
2024-01-25,11.25,1,-5.1165572155267744,2.819548872180689
2024-01-26,11.42,1,-5.125517911175682,2.8621553884714195
2024-01-29,11.44,1,-5.098635824228958,2.86716791979974
2024-01-30,11.38,0,-5.098635824228958,2.852130325814777
2024-01-31,11.24,0,-5.098635824228958,2.817042606516529
2024-02-01,11.33,1,-5.05363462542729,2.839598997493974
2024-02-02,11.23,0,-5.05363462542729,2.814536340852368
2024-02-05,11.36,1,-5.066980491515568,2.8471177944864556
2024-02-06,11.39,1,-5.09367222369212,2.854636591478938
2024-02-07,11.45,1,-5.204887774427755,2.8696741854639014
2024-02-08,11.7,1,-5.360589545457646,2.9323308270679167
2024-02-19,12.05,0,-5.360589545457646,3.0200501253135386
2024-02-20,12.3,0,-5.360589545457646,3.082706766917554
2024-02-21,12.25,0,-5.360589545457646,3.070175438596751
2024-02-22,12.46,1,-5.463843276670313,3.122807017544124
2024-02-23,12.7,0,-5.463843276670313,3.182957393483978
2024-02-26,12.35,1,-5.468267441266807,3.095238095238357
2024-02-27,12.36,0,-5.468267441266807,3.0977443609025177
2024-02-28,12.21,1,-5.513052596395937,3.0601503759401094
2024-02-29,12.31,0,-5.513052596395937,3.0852130325817155
2024-03-01,12.45,0,-5.513052596395937,3.120300751879964
2024-03-04,12.66,0,-5.513052596395937,3.172932330827337
2024-03-05,13.05,1,-5.6609122445751385,3.2706766917296015
2024-03-06,13.4,1,-5.8848139975322145,3.358395989975223
2024-03-07,13.93,1,-5.952406979556993,3.4912280701757354
2024-03-08,14.09,1,-5.939733295427348,3.531328320802306
2024-03-11,14.06,0,-5.939733295427348,3.5238095238098244
2024-03-12,13.56,1,-6.0842843269532345,3.398496240601794
2024-03-13,13.89,0,-6.0842843269532345,3.481203007519094
2024-03-14,14.59,0,-6.0842843269532345,3.656641604010337
2024-03-15,15.16,1,-6.012043484021072,3.7994987468674917
2024-03-18,14.98,0,-6.012043484021072,3.7543859649126006
2024-03-19,14.73,1,-6.003880492189408,3.6917293233085853
2024-03-20,14.71,0,-6.003880492189408,3.686716791980264
2024-03-21,14.82,0,-6.003880492189408,3.7142857142860306
2024-03-22,14.59,1,-6.147907782954747,3.656641604010337
2024-03-25,14.94,0,-6.147907782954747,3.7443609022559587
2024-03-26,14.73,1,-6.227208698009832,3.691729323308586
2024-03-27,14.92,0,-6.227208698009832,3.739348370927638
2024-03-28,15.3,0,-6.227208698009832,3.834586466165742
2024-03-29,16.02,1,-6.246644430525469,4.015037593985306
2024-04-01,16.07,1,-6.277741602550487,4.027568922306109
2024-04-02,16.15,1,-6.495421806725613,4.047619047619394
2024-04-03,16.71,0,-6.495421806725613,4.187969924812389
2024-04-08,16.5,0,-6.495421806725613,4.135338345865017
2024-04-09,16.21,1,-6.888112329279043,4.0626566416043595
2024-04-10,17.19,0,-6.888112329279043,4.3082706766921
2024-04-11,17.19,1,-7.048394175219218,4.3082706766921
2024-04-12,17.59,0,-7.048394175219218,4.408521303258524
2024-04-15,17.66,0,-7.048394175219218,4.426065162907649
2024-04-16,17.14,1,-7.105965656230343,4.2957393483712965
2024-04-17,17.28,0,-7.105965656230343,4.330827067669545
2024-04-18,17.67,0,-7.105965656230343,4.428571428571809
2024-04-19,17.83,0,-7.105965656230343,4.468671679198378
2024-04-22,17.0,1,-6.78828719159887,4.260651629073047
2024-04-23,16.24,0,-6.78828719159887,4.0701754385968405
2024-04-24,16.74,1,-6.731515375181677,4.195488721804871
2024-04-25,16.6,0,-6.731515375181677,4.160401002506624
2024-04-26,17.47,0,-6.731515375181677,4.378446115288597
2024-04-29,16.86,1,-6.71155239957319,4.2255639097748
2024-04-30,16.81,1,-6.675619043477914,4.213032581453996
2024-05-06,16.72,1,-6.647670877626033,4.190476190476551
2024-05-07,16.65,0,-6.647670877626033,4.172932330827427
2024-05-08,16.65,1,-6.751478350790164,4.172932330827427
2024-05-09,16.91,1,-6.963085892240122,4.238095238095604
2024-05-10,17.44,1,-6.939130321509938,4.3709273182961175
2024-05-13,17.38,1,-7.062900770282556,4.355889724311154
2024-05-14,17.69,1,-6.987041462970307,4.433583959900133
2024-05-15,17.5,1,-6.975063677605215,4.385964912281081
2024-05-16,17.47,1,-7.178686028811779,4.378446115288599
2024-05-17,17.98,1,-7.454175092208894,4.506265664160791
2024-05-20,18.67,1,-7.126782292229715,4.679197994987875
2024-05-21,17.85,1,-7.038945199552373,4.473684210526704
2024-05-22,17.63,1,-6.803382087372231,4.41854636591517
2024-05-23,17.04,0,-6.803382087372231,4.270676691729694
2024-05-24,17.02,1,-6.955278984740119,4.265664160401373
2024-05-27,17.4,1,-6.895319683147532,4.360902255639476
2024-05-28,17.25,1,-7.055211154061098,4.323308270677067
2024-05-29,17.65,1,-6.731430925461128,4.423558897243492
2024-05-30,16.84,0,-6.731430925461128,4.2205513784464825
2024-05-31,16.61,1,-6.699009825278293,4.162907268170788
2024-06-03,16.53,1,-6.7354835629839815,4.142857142857504
2024-06-04,16.62,0,-6.7354835629839815,4.165413533834949
2024-06-05,16.25,1,-6.959308862923141,4.072681704261006
2024-06-06,16.79,1,-7.029772383274358,4.208020050125679
2024-06-07,16.96,1,-6.797657257411525,4.250626566416409
2024-06-11,16.4,0,-6.797657257411525,4.110275689223415
2024-06-12,16.61,1,-6.633956902025336,4.162907268170788
2024-06-13,16.21,0,-6.633956902025336,4.062656641604364
2024-06-14,16.49,1,-6.613841811358189,4.132832080200861
2024-06-17,16.44,1,-6.565565593757034,4.120300751880059
2024-06-18,16.32,0,-6.565565593757034,4.090225563910131
2024-06-19,16.72,1,-6.659808162088476,4.190476190476556
2024-06-20,16.96,1,-6.565565593757035,4.250626566416411
2024-06-21,16.72,1,-6.624467198964186,4.190476190476556
2024-06-24,16.87,0,-6.624467198964186,4.228070175438965
2024-06-25,16.75,1,-6.588873046850349,4.197994987469038
2024-06-26,16.66,0,-6.588873046850349,4.175438596491593
2024-06-27,16.3,0,-6.588873046850349,4.0852130325818115
2024-06-28,16.97,0,-6.588873046850349,4.253132832080573
2024-07-01,17.44,1,-6.513312576129588,4.370927318296123
2024-07-02,17.24,1,-6.532202693809778,4.32080200501291
2024-07-03,17.29,1,-6.637987352818844,4.333333333333713
2024-07-04,17.57,1,-6.815554459012631,4.403508771930211
2024-07-05,18.04,0,-6.815554459012631,4.5213032581457595
2024-07-08,17.85,0,-6.815554459012631,4.4736842105267085
2024-07-09,18.22,0,-6.815554459012631,4.566416040100651
2024-07-10,17.78,1,-7.0033847000090415,4.456140350877584
2024-07-11,18.27,0,-7.0033847000090415,4.5789473684214546
2024-07-12,17.88,1,-7.136558682000265,4.48120300751919
2024-07-15,18.22,1,-7.289317073107845,4.566416040100652
