日期,股票代码,开盘,收盘,最高,最低,成交量,成交额,振幅,涨跌幅,涨跌额,换手率,date_only,铜价,收益率,铜价涨幅,MA5,MA20,MA5_Ratio,MA20_Ratio,RSI14,MACD_Line,MACD_Signal,MACD_Hist,BB_Mid,BB_Std,BB_Upper,BB_Lower
2013-01-08,601899,1.76,1.75,1.77,1.72,562356,212720777.0,2.84,-0.57,-0.01,0.36,2013-01-08,0,-0.005681818181818232,0,1.766,1.7109999999999999,-0.009060022650056676,0.0227936879018118,52.77777777777778,0.023239584031211846,0.014210204532182972,0.009029379499028874,1.7109999999999999,0.055715442440666625,1.822430884881333,1.5995691151186666
2013-01-09,601899,1.75,1.76,1.77,1.73,525261,199058935.0,2.29,0.57,0.01,0.33,2013-01-09,0,0.005714285714285783,0,1.766,1.7185,-0.003397508493771184,0.024148967122490594,51.42857142857142,0.023265466964934367,0.01602125701873325,0.0072442099462011154,1.7185,0.05132712425466522,1.8211542485093304,1.6158457514906694
2013-01-10,601899,1.75,1.79,1.81,1.73,847722,323277824.0,4.55,1.7,0.03,0.54,2013-01-10,0,0.017045454545454586,0,1.766,1.7259999999999998,0.013590033975084959,0.03707995365005812,56.75675675675676,0.025413774483207696,0.017899760511628143,0.007514013971579553,1.7259999999999998,0.050199601592474656,1.826399203184949,1.6256007968150505
2013-01-11,601899,1.81,1.74,1.81,1.72,615640,233964226.0,5.03,-2.79,-0.05,0.39,2013-01-11,0,-0.027932960893854775,0,1.7600000000000002,1.7315,-0.011363636363636465,0.004909038406006427,55.26315789473684,0.0228187017470034,0.018883548758703197,0.003935152988300203,1.7315,0.04487116058978935,1.8212423211795787,1.6417576788204213
2013-01-14,601899,1.72,1.8,1.81,1.71,888882,338654576.0,5.75,3.45,0.06,0.56,2013-01-14,0,0.034482758620689724,0,1.768,1.7375,0.018099547511312153,0.03597122302158273,59.523809523809526,0.02531180770300301,0.02016920054756316,0.005142607155439849,1.7375,0.04563874162249748,1.828777483244995,1.646222516755005
2013-01-15,601899,1.8,1.83,1.84,1.78,1149819,442957504.0,3.33,1.67,0.03,0.73,2013-01-15,0,0.016666666666666607,0,1.784,1.7485000000000004,0.02578475336322872,0.04661138118387176,70.0,0.02936980458929317,0.02200932135590916,0.0073604832333840076,1.7485000000000004,0.039373381337364496,1.8272467626747293,1.6697532373252715
2013-01-16,601899,1.84,1.87,1.9,1.81,1323698,515383984.0,4.92,2.19,0.04,0.84,2013-01-16,0,0.021857923497267784,0,1.8060000000000003,1.7555,0.03543743078626793,0.06522358302477937,72.09302325581396,0.0354053314422067,0.02468852337316867,0.01071680806903803,1.7555,0.04751454071113422,1.8505290814222686,1.6604709185777315
2013-01-17,601899,1.86,1.8,1.86,1.79,627313,241627009.0,3.74,-3.74,-0.07,0.4,2013-01-17,0,-0.03743315508021394,0,1.8080000000000003,1.7579999999999998,-0.004424778761062065,0.023890784982935287,58.69565217391305,0.03414649542734183,0.026580117784003304,0.007566377643338524,1.7579999999999998,0.04851478342287982,1.8550295668457595,1.66097043315424
2013-01-18,601899,1.83,1.83,1.85,1.79,638697,246651048.0,3.33,1.67,0.03,0.4,2013-01-18,0,0.016666666666666607,0,1.826,1.7625,0.0021905805038335835,0.0382978723404257,56.81818181818182,0.03516425643646648,0.02829694551449594,0.00686731092197054,1.7625,0.05087394121531555,1.864247882430631,1.660752117569369
2013-01-21,601899,1.83,1.82,1.84,1.8,609832,235000299.0,2.19,-0.55,-0.01,0.39,2013-01-21,0,-0.005464480874316946,0,1.83,1.7685000000000002,-0.005464480874316946,0.0291207237772122,59.523809523809526,0.03476319447567855,0.029590195306732462,0.005172999168946087,1.7685000000000002,0.05018649430443163,1.8688729886088635,1.6681270113911368
2013-01-22,601899,1.82,1.77,1.83,1.76,650443,248767191.0,3.85,-2.75,-0.05,0.41,2013-01-22,0,-0.027472527472527486,0,1.818,1.7710000000000001,-0.02640264026402639,-0.000564652738565874,51.1111111111111,0.03006420639271723,0.02968499752392942,0.00037920886878781146,1.7710000000000001,0.04887147483628837,1.868742949672577,1.6732570503274233
2013-01-23,601899,1.77,1.77,1.79,1.74,444474,169271674.0,2.82,0.0,0.0,0.28,2013-01-23,0,0.0,0,1.798,1.7760000000000002,-0.015572858731924377,-0.0033783783783785104,47.61904761904762,0.02604005098421225,0.028956008215985988,-0.0029159572317737394,1.7760000000000002,0.04272309864624795,1.861446197292496,1.6905538027075044
